,podcaster_id,name
0,17293748,رادیو راه
2,7697322,Ehsanoo Podcast
3,16024112,ChannelB Podcast
7,19016209,Banafsheh Taherian
9,15814516,سپهر خدابنده
10,12347707,مختار رزمجو
12,10049203,Jadi Mirmirani
16,14078348,marzie rasouli
20,7859627,Nav Cast
23,9225691,Shahin JN
26,13480902,10am Podcast
28,23064620,Mojtaba GhahvechiBashi
32,27379575,Hoomak
35,26144944,Nazanin Moali
39,9217357,Helli Hendesi
40,14330993,Iman Fani
44,16641339,Pari  (پادکست ناجی)
45,25679143,Mr.gray
50,7717534,Ravaqpod
52,26899294,شنوتو shenoto
55,16682348,Amirali Gh
57,18832708,Dr. Mosi
63,8350502,روزبه استیفایی
65,8120994,Radio Deev
67,18256867,Podcast
69,15705349,Hesam Ipakchi
73,6196416,Poria
77,13966239,Rasoul Hasanpour
78,7543292,Koron Podcast
81,6881539,moad tabari
83,10943538,Mehdi Parsa
85,8096147,Mehdi Abbasi
87,13387606,Hezarsarv هزارسرو
88,19319939,Hamed Derakhshani
89,23250574,Radio Majera
91,7747991,Mahdi Pourbaghi
93,13930353,fiction podcast پادکست فارسی فیکشن
96,7336596,Ehsan Tarighat
98,17731521,King Raam
100,9191310,Radio Offside
101,16818955,Masoud Fahimi
102,16045081,رادیو نیست
103,15751893,Amin Matin | امین متین
106,21957460,Jedaal
109,17821125,محسن پوررمضانی
111,19288820,moniaz Podcast
116,9917438,Bardia Barj
120,10887293,Mehdi Abbasi
123,14357533,Ardeshir Tayebi
125,19676377,Pouriya Marefat
126,8178802,Footballlab Podcast
131,18950115,Dast Cast دست کست
132,19491060,haagir vaagir
135,18102080,Mehdi
137,14199420,amir soodbakhsh
138,11825668,Yuri On RADIO / یوری بر رادیو
143,9525176,Amin Aramesh
145,10020919,احمد فیاض | Ahmad Fayaz
147,6479750,Arash Thr
150,14402532,Nima Talaei
154,18625493,فوتبالکست
156,19446565,mohamadsaber cheshmberah
159,19213217,Rodia@ Zhabiz
160,27584822,Mahsa
162,18195281,پادکست آرامش
165,10102209,Khodcast
171,19629816,Persa Real
174,21612578,Shayan Eskandari
176,18000219,امیر لطیفی
