,cid,podcaster_id,title,episode_count,sub_count,primary_cid,name
1,4894772,17293748.0,رادیو راه با مجتبی شکوری,120,1468883,,رادیو راه
4,2356600,16024112.0,ChannelB پادکست فارسی,96,931763,,ChannelB Podcast
64,4857685,16682348.0,جافکری | Jafekri,120,853001,,Amirali Gh
149,2748108,14199420.0,پادکست رخ,77,771371,,amir soodbakhsh
9,2400145,15814516.0,صلح درون,177,747731,,سپهر خدابنده
12,2480138,12347707.0,پلی لیست | PlayList,288,725447,,مختار رزمجو
50,3052047,7717534.0,رواق / Ravaq,106,498424,,Ravaqpod
2892,3047723,19014914.0,کتاب باز -  صفحه رسمی,532,435798,,کتاب باز - صفحه رسمی
718,5175428,9850467.0,این نقطه,167,356003,,Hosein Aura
42,1477141,9217357.0,Hellitalk,43,272161,,Helli Hendesi
71,1399866,8120994.0,Radio Deev/پادکست رادیو دیو,43,252816,,Radio Deev
2124,4821869,25028098.0,پادکست طنز چیزگرافی | چیز گرافی,22,249562,,لطفا با فیلترشکن دانلود کنید
1008,4085001,21902036.0,طنز موزیکال کشورگرافی,38,199990,,لطفا با فیلترشکن دانلود کنید
113,1428375,9191310.0,Radio Offside | پادکست فوتبالی رادیو آفساید,250,198001,,Radio Offside
22,2005284,7859627.0,پادکست ناوکست / Navcast,75,187946,,Nav Cast
220,5471707,8369702.0,On podcast پادکست آن,42,184385,,Mersen
66,2967229,18832708.0,زندگی بهینه [زهینه],1683,184348,,Dr. Mosi
226,2063062,11730152.0,راوکست | Ravcast,72,176230,,ایمان نژاداحد
210,4888005,14994005.0,زندگی مایندفول با مدیتیشن | مراقبه‌ی فارسی,98,169470,,مریم
16,1475573,14078348.0,Radio Marz | پادکست فارسی رادیو مرز,61,165684,,marzie rasouli
112,2664563,17731521.0,Masty o Rasty | پادکست فارسی مستی و راستی,311,164236,,King Raam
1391,4967933,25913181.0,ترانه گرافی,26,160468,,از سری پادکست های کشورگرافی
420,4846699,9674962.0,Bandar-E-Tehran | رادیو بندر تهران,124,159521,,Mohammad Amin Chitgaran
72,5101455,18256867.0,meditation podcast | پادكست مراقبه ي فارسي مدیتیشن پادکست,111,157949,,Podcast
486,1798319,10034149.0,DialogueBox | دیالوگ‌باکس,122,156231,,Mehdi Sotoudeh
3756,3980827,21638048.0,داستان های احسانو / daastaan ehsaanoo,59,151369,,احسان عبدی پور ehsanabdipoor
27,5026144,9225691.0,StringCast | استرینگ‌کست,108,149131,,Shahin JN
11,4926174,15814516.0,یک دقیقه با من,321,148303,,سپهر خدابنده
100,2620266,23250574.0,پادکست رادیو ماجرا,45,138287,,Radio Majera
4215,4929373,25170476.0,کتاب صوتی,267,134076,,Mehrdad
156,1464834,9525176.0,رادیو کارنکن,88,132420,,Amin Aramesh
1037,4907231,25086119.0,گنبد کبود/Gonbad.Kabood,118,125377,,Gonbad Kabod
417,4498610,9674962.0,داستان شب,1118,125191,,Mohammad Amin Chitgaran
4000,4565579,22595921.0,هنر ریلکسیشن، موسیقی بیکلام | Art of relaxation with music,174,114886,,Reza
1613,3116458,14209906.0,دارما مدیتیشن، پادکست مراقبه‌ و خودشناسی | Dharma Meditation Podcast,259,112980,,Ali Delshad Tehrani
145,4492081,19491060.0,هاگیرواگیر,76,111773,,haagir vaagir
3994,4924453,18764399.0,پادکست توسعه فردی,353,108749,,پوریا احمدی
4046,4920104,12319321.0,آموزش زبان فیش اند چیپس,35,106584,,Fishnchips Podcast
487,4906765,19221286.0,Tabaghe 16 طبقه,121,104717,,Soheil Alavi
381,4728385,14856750.0,روانشناسی دکتر هلاکویی,35,104227,,Hooman
78,4498803,15705349.0,پادکست فارسی انسانک | Ensanak,53,101063,,Hesam Ipakchi
519,4971504,22882288.0,دوره انتقادی تاریخ فلسفه غرب,45,98625,,Siavash mehr
391,5546595,8190499.0,Paragraph | پاراگراف,27,98172,,Alireza Banijani
2471,4132406,11007494.0,RJ Podcast | آموزش زبان انگلیسی با فیلم و ترانه,145,95661,,Reza Jamali
4153,4961491,24187996.0,منفی بیست,73,94166,,Whomaan
1350,3528045,19624777.0,تکه هایی از یک کل منسجم,166,93554,,shadi lavi 🦋
465,4206261,13976402.0,پادکست راوکده,30,93027,,محمدعلی نامه ای
1748,4649858,23717180.0,کتاب محدودیت صفر (جذب ثروت و فراوانی),30,92261,,Zahra sabeti
44,2215963,14330993.0,مدرسه زندگی فارسی,321,89979,,Iman Fani
45,2770413,16641339.0,Naaji /پادکست فارسی ناجی,38,88544,,Pari  (پادکست ناجی)
119,2421549,16045081.0,RadioNist / رادیو نیست,48,88181,,رادیو نیست
2266,4691556,24104717.0,آموزش زبان آلمانی نصرت,100,86923,,radio zaban
429,5062468,23112845.0,باشگاه قتل پنجشنبه | The Thursday Murder Club,292,86140,,Reza Karimabadi
473,4659016,16311133.0,رادیو قجرتایم,17,83518,,رادیو قجرتایم
107,1480796,7336596.0,پرچم سفید,88,79027,,Ehsan Tarighat
3799,4691634,24105389.0,آموزش زبان اسپانیایی نصرت,100,78601,,radio zaban
1937,3588923,11805800.0,کتاب صوتی شازده کوچولو,49,78221,,Seyyed Mohammad Hejazi
222,3350387,16898551.0,پادکست کتاب کست - KetabCast,1189,77736,,MONTANA
2063,5358826,17363840.0,Radio Nadastan | رادیو ناداستان,36,76349,,Radio Nadastan
2698,1362236,7521306.0,GapDive پادکست موسیقی متن گپ دایو,98,73680,,melodive
68,1458350,8350502.0,چیروک,18,72000,,روزبه استیفایی
150,4918867,14199420.0,Wrapup | رپاپ,14,71901,,amir soodbakhsh
3404,5470217,19727692.0,کتابخانه نیمه شب,65,71700,,Mitra Behrouzi
14,343520,10049203.0,پادکست – جادی دات نت | کیبرد آزاد,131,71174,,Jadi Mirmirani
199,3310854,21454805.0,Radio Tragedy رادیو تراژدی,44,70790,,Radio Tragedy
3759,3455144,19558759.0,کتاب صوتی اثر مرکب,14,70487,,Boocast
1590,4901562,14307501.0,پادکست علی ویشکی | The Ali Vishki Podcast,95,70414,,Ali Vishki
3160,2755169,17705177.0,روانشناسی,217,69983,,maohammadAli Fallahzade
81,4847938,6196416.0,رادیو عجایب,61,69794,,Poria
